ID,Cluster
766192484,2
766192485,2
766192486,3
766192487,3
766192488,2
766192489,3
766192490,2
766192491,2
766192492,2
766192493,1
766192494,4
766192495,2
766192496,3
766192497,2
766192498,3
766192499,2
766192500,2
766192501,2
766192502,3
766192503,2
766192504,0
766192505,3
766192506,2
766192507,3
766192508,2
766192509,4
766192510,3
766192511,2
766192512,2
766192513,2
766192514,2
766192515,2
766192516,2
766192517,2
766192518,3
766192519,2
766192520,2
766192521,3
766192522,3
766192523,3
766192524,4
766192525,3
766192526,4
766192527,2
766192528,2
766192529,3
766192530,1
766192531,2
766192532,2
766192533,3
766192534,3
766192535,2
766192536,2
766192537,2
766192538,3
766192539,2
766192540,3
766192541,2
766192542,2
766192543,2
766192544,2
766192545,2
766192546,2
766192547,0
766192548,3
766192549,3
766192550,2
766192551,2
766192552,2
766192553,2
766192554,2
766192555,4
766192556,2
766192557,2
766192558,3
766192559,3
766192560,2
766192561,2
766192562,2
766192563,3
766192564,2
766192565,2
766192566,2
766192567,2
766192568,2
766192569,2
766192570,2
766192571,2
766192572,2
766192573,3
766192574,2
766192575,2
766192576,2
766192577,2
766192578,2
766192579,3
766192580,3
766192581,2
766192582,2
766192583,2
766192585,3
766192586,2
766192587,3
766192588,0
766192589,2
766192590,2
766192591,2
766192592,3
766192593,2
766192594,3
766192595,2
766192596,2
766192597,2
766192598,2
766192599,2
766192600,3
766192601,2
766192602,2
766192603,3
766192604,2
766192605,0
766192606,2
766192607,2
766192608,2
766192609,3
766192610,3
766192611,5
766192612,2
766192613,2
766192614,3
766192615,0
766192616,0
766192617,3
766192618,3
766192619,3
766192620,2
766192621,3
766192622,3
766192623,2
766192624,2
766192625,2
766192626,0
766192627,2
766192628,3
766192629,2
766192630,3
766192631,3
766192632,2
766192633,3
766192634,0
766192635,2
766192636,2
766192637,2
766192638,2
766192639,3
766192640,3
766192641,3
766192642,4
766192643,2
766192644,3
766192645,2
766192646,3
766192647,2
766192648,2
766192649,2
766192650,0
766192651,3
766192652,2
766192653,0
766192654,3
766192655,2
766192656,2
766192657,2
766192658,2
766192659,2
766192660,3
766192661,3
766192662,0
766192663,2
766192664,3
766192665,3
766192666,2
766192667,3
766192668,2
766192669,2
766192670,2
766192671,3
766192672,3
766192673,2
766192674,2
766192675,3
766192676,3
766192677,2
766192678,2
766192679,2
766192680,2
766192681,2
766192682,3
766192683,2
766192684,2
766192685,2
766192686,2
766192687,2
766192688,3
766192689,2
766192690,3
766192691,3
766192692,2
766192693,2
766192694,2
766192695,2
766192696,3
766192697,2
766192698,3
766192699,3
766192700,0
766192701,3
766192702,2
766192703,2
766192704,2
766192705,2
766192706,3
766192707,4
766192708,2
766192709,3
766192710,3
766192711,3
766192712,2
766192713,2
766192714,3
766192715,3
766192716,2
766192717,2
766192718,2
766192719,3
766192720,0
766192721,2
766192722,3
766192723,3
766192724,4
766192725,2
766192726,4
766192727,2
766192728,0
766192729,3
766192730,2
766192731,2
766192732,5
766192733,3
766192734,2
766192735,3
766192736,2
766192737,2
766192738,0
766192739,2
766192740,2
766192741,2
766192742,2
766192743,2
766192744,3
766192745,2
766192746,3
766192747,3
766192748,2
766192749,2
766192750,2
766192751,3
766192752,2
766192753,2
766192754,3
766192755,2
766192756,2
766192757,4
766192758,2
766192759,2
766192760,1
766192761,3
766192762,2
766192763,2
766192764,2
766192765,2
766192766,2
766192767,2
766192768,2
766192769,3
766192770,2
766192771,2
766192772,2
766192773,2
766192774,2
766192775,2
766192776,2
766192777,3
766192778,2
766192779,2
766192780,4
766192781,3
766192782,4
766192783,2
766192784,0
766192785,2
766192786,3
766192787,2
766192788,3
766192789,2
766192790,3
766192791,2
766192792,4
766192793,2
766192794,2
766192795,3
766192796,0
766192797,2
766192798,2
766192799,3
766192800,2
766192801,3
766192802,2
766192803,0
766192804,2
766192805,3
766192806,3
766192807,2
766192808,2
766192809,2
766192810,1
766192811,3
766192812,2
766192813,3
766192814,2
766192815,2
766192816,0
766192817,2
