ID,Cluster
766192484,1
766192485,2
766192486,1
766192487,4
766192488,4
766192489,1
766192490,1
766192491,1
766192492,1
766192493,1
766192494,1
766192495,4
766192496,1
766192497,1
766192498,1
766192499,1
766192500,1
766192501,2
766192502,4
766192503,1
766192504,1
766192505,1
766192506,1
766192507,4
766192508,1
766192509,1
766192510,1
766192511,1
766192512,4
766192513,4
766192514,2
766192515,4
766192516,4
766192517,4
766192518,1
766192519,2
766192520,1
766192521,1
766192522,1
766192523,1
766192524,2
766192525,1
766192526,1
766192527,1
766192528,1
766192529,4
766192530,1
766192531,4
766192532,1
766192533,1
766192534,1
766192535,1
766192536,4
766192537,4
766192538,1
766192539,1
766192540,6
766192541,1
766192542,1
766192543,1
766192544,4
766192545,1
766192546,4
766192547,1
766192548,1
766192549,1
766192550,1
766192551,1
766192552,1
766192553,1
766192554,1
766192555,2
766192556,1
766192557,1
766192558,1
766192559,4
766192560,1
766192561,0
766192562,1
766192563,4
766192564,4
766192565,4
766192566,1
766192567,4
766192568,1
766192569,1
766192570,1
766192571,1
766192572,1
766192573,1
766192574,4
766192575,1
766192576,4
766192577,1
766192578,4
766192579,1
766192580,1
766192581,1
766192582,1
766192583,1
766192585,1
766192586,1
766192587,1
766192588,1
766192589,1
766192590,4
766192591,1
766192592,4
766192593,4
766192594,1
766192595,1
766192596,1
766192597,1
766192598,1
766192599,4
766192600,4
766192601,1
766192602,4
766192603,4
766192604,1
766192605,0
766192606,6
766192607,1
766192608,1
766192609,1
766192610,1
766192611,1
766192612,1
766192613,4
766192614,1
766192615,1
766192616,1
766192617,1
766192618,1
766192619,1
766192620,4
766192621,4
766192622,4
766192623,0
766192624,4
766192625,1
766192626,1
766192627,1
766192628,1
766192629,1
766192630,1
766192631,1
766192632,1
766192633,4
766192634,1
766192635,1
766192636,1
766192637,1
766192638,1
766192639,4
766192640,1
766192641,1
766192642,1
766192643,1
766192644,1
766192645,1
766192646,1
766192647,1
766192648,0
766192649,4
766192650,1
766192651,4
766192652,1
766192653,1
766192654,1
766192655,1
766192656,4
766192657,1
766192658,5
766192659,1
766192660,1
766192661,1
766192662,4
766192663,1
766192664,1
766192665,4
766192666,1
766192667,1
766192668,1
766192669,1
766192670,4
766192671,1
766192672,4
766192673,1
766192674,4
766192675,1
766192676,1
766192677,4
766192678,1
766192679,1
766192680,1
766192681,1
766192682,4
766192683,4
766192684,1
766192685,1
766192686,1
766192687,1
766192688,1
766192689,1
766192690,1
766192691,1
766192692,1
766192693,4
766192694,4
766192695,4
766192696,4
766192697,1
766192698,4
766192699,1
766192700,1
766192701,1
766192702,4
766192703,4
766192704,4
766192705,4
766192706,1
766192707,1
766192708,4
766192709,1
766192710,1
766192711,1
766192712,1
766192713,1
766192714,4
766192715,4
766192716,2
766192717,1
766192718,1
766192719,1
766192720,1
766192721,4
766192722,4
766192723,1
766192724,3
766192725,4
766192726,1
766192727,4
766192728,1
766192729,1
766192730,1
766192731,2
766192732,1
766192733,4
766192734,1
766192735,1
766192736,1
766192737,1
766192738,1
766192739,4
766192740,1
766192741,4
766192742,4
766192743,2
766192744,0
766192745,1
766192746,4
766192747,4
766192748,1
766192749,1
766192750,1
766192751,1
766192752,1
766192753,1
766192754,1
766192755,1
766192756,1
766192757,5
766192758,1
766192759,1
766192760,1
766192761,4
766192762,1
766192763,1
766192764,1
766192765,4
766192766,1
766192767,1
766192768,1
766192769,1
766192770,1
766192771,4
766192772,1
766192773,1
766192774,1
766192775,1
766192776,2
766192777,1
766192778,4
766192779,1
766192780,5
766192781,4
766192782,5
766192783,1
766192784,4
766192785,4
766192786,1
766192787,1
766192788,4
766192789,1
766192790,2
766192791,1
766192792,2
766192793,1
766192794,1
766192795,1
766192796,1
766192797,1
766192798,1
766192799,1
766192800,4
766192801,1
766192802,1
766192803,1
766192804,1
766192805,1
766192806,1
766192807,1
766192808,1
766192809,1
766192810,4
766192811,1
766192812,1
766192813,1
766192814,1
766192815,4
766192816,1
766192817,1
766192818,1
766192819,1
766192820,1
766192821,1
766192822,1
766192823,4
766192824,1
766192825,1
766192826,4
766192827,1
766192828,1
766192829,4
766192830,1
766192831,1
766192832,1
766192833,1
766192834,1
766192835,1
766192836,1
766192837,4
766192838,4
766192839,1
766192840,1
766192841,1
766192842,1
766192843,1
766192844,1
766192845,4
766192846,1
766192847,1
766192848,4
766192849,1
766192850,1
766192851,3
766192852,1
766192853,2
766192854,4
766192855,1
766192856,1
766192857,1
766192858,1
766192859,1
766192860,1
766192861,1
766192862,1
766192863,1
766192864,1
766192865,1
766192866,4
766192867,1
766192868,4
766192869,1
766192870,1
766192871,1
766192872,1
766192873,1
766192874,1
766192875,1
766192876,4
766192877,1
766192878,2
766192879,1
