ID,Cluster
766192484,1
766192485,4
766192486,7
766192487,6
766192488,4
766192489,7
766192490,4
766192491,4
766192492,4
766192493,4
766192494,5
766192495,4
766192496,7
766192497,1
766192498,7
766192499,7
766192500,4
766192501,4
766192502,6
766192503,4
766192504,4
766192505,7
766192506,1
766192507,6
766192508,3
766192509,4
766192510,7
766192511,4
766192512,4
766192513,5
766192514,4
766192515,4
766192516,4
766192517,6
766192518,7
766192519,4
766192520,4
766192521,6
766192522,3
766192523,7
766192524,4
766192525,7
766192526,4
766192527,4
766192528,5
766192529,10
766192530,4
766192531,4
766192532,4
766192533,1
766192534,7
766192535,4
766192536,4
766192537,4
766192538,7
766192539,4
766192540,7
766192541,4
766192542,4
766192543,4
766192544,4
766192545,4
766192546,4
766192547,4
766192548,9
766192549,1
766192550,4
766192551,4
766192552,4
766192553,1
766192554,4
766192555,7
766192556,1
766192557,4
766192558,7
766192559,7
766192560,9
766192561,4
766192562,9
766192563,6
766192564,4
766192565,6
766192566,4
766192567,4
766192568,6
766192569,4
766192570,4
766192571,4
766192572,4
766192573,7
766192574,4
766192575,4
766192576,4
766192577,4
766192578,4
766192579,7
766192580,7
766192581,1
766192582,4
766192583,1
766192585,7
766192586,9
766192587,7
766192588,3
766192589,4
766192590,4
766192591,7
766192592,7
766192593,6
766192594,7
766192595,9
766192596,4
766192597,4
766192598,3
766192599,4
766192600,7
766192601,4
766192602,4
766192603,5
766192604,4
766192605,3
766192606,6
766192607,4
766192608,1
766192609,7
766192610,7
766192611,4
766192612,4
766192613,8
766192614,7
766192615,3
766192616,3
766192617,7
766192618,7
766192619,7
766192620,4
766192621,7
766192622,7
766192623,2
766192624,6
766192625,4
766192626,3
766192627,4
766192628,3
766192629,9
766192630,7
766192631,7
766192632,4
766192633,7
766192634,3
766192635,4
766192636,4
766192637,8
766192638,4
766192639,7
766192640,10
766192641,7
766192642,8
766192643,4
766192644,7
766192645,4
766192646,7
766192647,1
766192648,4
766192649,4
766192650,3
766192651,6
766192652,7
766192653,3
766192654,3
766192655,1
766192656,4
766192657,5
766192658,8
766192659,4
766192660,7
766192661,7
766192662,4
766192663,4
766192664,7
766192665,7
766192666,9
766192667,6
766192668,1
766192669,4
766192670,4
766192671,3
766192672,7
766192673,9
766192674,4
766192675,1
766192676,7
766192677,4
766192678,4
766192679,4
766192680,4
766192681,1
766192682,7
766192683,4
766192684,4
766192685,4
766192686,4
766192687,4
766192688,7
766192689,4
766192690,1
766192691,7
766192692,4
766192693,4
766192694,4
766192695,5
766192696,1
766192697,4
766192698,7
766192699,7
766192700,4
766192701,7
766192702,5
766192703,4
766192704,4
766192705,5
766192706,7
766192707,4
766192708,5
766192709,7
766192710,7
766192711,7
766192712,4
766192713,4
766192714,2
766192715,7
766192716,4
766192717,4
766192718,4
766192719,7
766192720,3
766192721,4
766192722,7
766192723,7
766192724,8
766192725,4
766192726,8
766192727,6
766192728,4
766192729,7
766192730,4
766192731,4
766192732,3
766192733,1
766192734,1
766192735,5
766192736,4
766192737,6
766192738,3
766192739,5
766192740,4
766192741,5
766192742,1
766192743,5
766192744,7
766192745,4
766192746,7
766192747,6
766192748,4
766192749,4
766192750,3
766192751,5
766192752,4
766192753,4
766192754,5
766192755,4
766192756,4
766192757,8
766192758,4
766192759,4
766192760,7
766192761,7
766192762,4
766192763,4
766192764,10
766192765,4
766192766,4
766192767,4
766192768,4
766192769,7
766192770,4
766192771,4
766192772,4
766192773,4
766192774,1
766192775,4
766192776,6
766192777,7
766192778,4
766192779,4
766192780,8
766192781,1
766192782,8
766192783,4
766192784,4
766192785,6
766192786,7
766192787,1
766192788,1
766192789,9
766192790,1
766192791,4
766192792,7
766192793,4
766192794,4
766192795,7
766192796,1
766192797,4
766192798,4
766192799,7
766192800,4
766192801,7
766192802,4
766192803,3
766192804,4
766192805,7
766192806,7
766192807,4
766192808,4
766192809,1
766192810,4
766192811,7
766192812,1
766192813,9
766192814,4
766192815,4
766192816,3
766192817,4
766192818,4
766192819,4
766192820,4
766192821,4
766192822,7
766192823,4
766192824,4
766192825,4
766192826,6
766192827,4
766192828,7
766192829,7
766192830,2
766192831,7
766192832,7
766192833,7
766192834,1
766192835,1
766192836,4
766192837,1
766192838,5
766192839,4
766192840,7
766192841,3
766192842,3
766192843,1
766192844,4
766192845,4
766192846,4
766192847,5
766192848,5
766192849,4
766192850,9
766192851,7
766192852,4
766192853,10
766192854,3
766192855,4
766192856,7
766192857,7
766192858,4
766192859,7
766192860,1
766192861,4
766192862,1
766192863,4
766192864,7
766192865,4
766192866,4
766192867,4
766192868,1
766192869,4
766192870,4
766192871,4
766192872,7
766192873,4
766192874,6
766192875,7
766192876,1
766192877,3
766192878,4
766192879,4
766192880,1
766192881,4
766192882,7
766192883,3
766192884,4
766192885,6
766192886,4
766192887,4
766192888,4
766192889,7
766192890,7
766192891,4
766192892,7
766192893,1
766192894,4
766192895,6
766192896,4
766192897,4
766192898,4
766192899,4
766192900,3
766192901,4
766192902,1
766192903,10
766192904,4
766192905,1
766192906,1
766192907,4
766192908,4
766192909,3
766192910,4
766192911,5
766192912,3
766192913,2
766192914,1
766192915,5
766192916,7
766192917,4
766192918,4
766192919,1
766192920,4
766192921,4
766192922,4
766192923,7
766192924,7
766192925,9
766192926,7
766192927,4
766192928,4
766192929,4
766192930,5
766192931,4
766192932,1
766192933,4
766192934,8
766192935,7
766192936,4
766192937,7
766192938,7
766192939,4
766192940,1
766192941,3
766192942,4
766192943,4
766192944,4
766192945,4
766192946,4
766192947,7
766192948,4
766192949,4
766192950,1
766192951,6
766192952,7
766192953,9
766192954,7
766192955,7
766192956,4
766192957,6
766192958,2
766192959,4
766192960,4
766192961,7
766192962,4
766192963,4
766192964,4
766192965,4
766192966,4
766192967,3
766192968,4
766192969,1
766192970,7
766192971,4
766192972,7
766192973,6
